date,classification,net_score,bull_score,bear_score,n_bull_patterns,n_bear_patterns,paksha,tithi_num,tithi_quality,nak_mo_name,yoga_name,yoga_quality,karana,vara_lord,dig_Ju,dig_Sa,dig_Mo,retro_Me,comb_Mo,gajakesari,sade_sati,mahadasha,active_bull_patterns,active_bear_patterns
2026-06-15,WATCH_BEAR,-0.3786,0.0,0.3786,0,1,SHUKLA,1,Nanda,Mrigashira,Ganda,inauspicious,Kimstughna,Mo,exalted,neutral,friendly,0,1,0,1,Su,,dig_Sa=neutral
2026-06-16,WATCH_BEAR,-0.3786,0.0,0.3786,0,1,SHUKLA,2,Bhadra,Punarvasu,Vriddhi,auspicious,Kaulava,Ma,exalted,neutral,friendly,0,0,0,1,Su,,dig_Sa=neutral
2026-06-17,WATCH_BEAR,-0.3786,0.0,0.3786,0,1,SHUKLA,3,Jaya,Pushya,Dhruva,auspicious,Garija,Me,exalted,neutral,own,0,0,1,1,Su,,dig_Sa=neutral
2026-06-18,WATCH_BEAR,-0.3786,0.0,0.3786,0,1,SHUKLA,4,Rikta,Ashlesha,Vyaghata,inauspicious,Vishti,Ju,exalted,neutral,own,0,0,1,1,Su,,dig_Sa=neutral
2026-06-19,WATCH_BEAR,-0.3786,0.0,0.3786,0,1,SHUKLA,6,Nanda,Magha,Vajra,inauspicious,Kaulava,Ve,exalted,neutral,friendly,0,0,0,1,Su,,dig_Sa=neutral
2026-06-22,PRIME_TRADE_BEAR,-0.9319,0.0,0.9319,0,3,SHUKLA,9,Rikta,Hasta,Variyan,auspicious,Balava,Mo,exact_exalt,neutral,friendly,0,0,0,1,Su,,dig_Sa|dig_Ma|sade_sati_phase=neutral||neutral||rising|dig_Ma|sade_sati_phase=neutral||rising|dig_Sa=neutral
2026-06-23,PRIME_TRADE_BEAR,-0.9319,0.0,0.9319,0,3,SHUKLA,10,Purna,Chitra,Parigha,inauspicious,Taitila,Ma,exact_exalt,neutral,friendly,0,0,0,1,Su,,dig_Sa|dig_Ma|sade_sati_phase=neutral||neutral||rising|dig_Ma|sade_sati_phase=neutral||rising|dig_Sa=neutral
2026-06-24,WATCH_BULL,-1.2274,0.0673,1.2947,1,4,SHUKLA,10,Purna,Swati,Shiva,auspicious,Garija,Me,exact_exalt,neutral,neutral,0,0,1,1,Su,dig_Mo|dig_Ve|dig_Me=neutral||enemy||enemy,dig_Sa|dig_Ma|sade_sati_phase=neutral||neutral||rising|dig_Ma|sade_sati_phase=neutral||rising|dig_Sa|dig_Mo=neutral||neutral
2026-06-25,WATCH_BULL,-1.2274,0.0673,1.2947,1,4,SHUKLA,11,Nanda,Vishakha,Siddha,auspicious,Vishti,Ju,exact_exalt,neutral,neutral,0,0,1,1,Su,dig_Mo|dig_Ve|dig_Me=neutral||enemy||enemy,dig_Sa|dig_Ma|sade_sati_phase=neutral||neutral||rising|dig_Ma|sade_sati_phase=neutral||rising|dig_Sa|dig_Mo=neutral||neutral
2026-06-29,WATCH_BULL,-1.2274,0.0673,1.2947,1,4,SHUKLA,15,Purna,Mula,Brahma,auspicious,Bava,Mo,exact_exalt,neutral,neutral,0,0,0,1,Su,dig_Mo|dig_Ve|dig_Me=neutral||enemy||enemy,dig_Sa|dig_Ma|sade_sati_phase=neutral||neutral||rising|dig_Ma|sade_sati_phase=neutral||rising|dig_Sa|dig_Mo=neutral||neutral
