condition_col,condition_val,outcome,lag,n,k,win_rate,wilson_lower,p_value
retro_Me,1,is_bull,14,993,500,0.5035,0.4725,0.009674
graha_yuddha,1,is_bull,1,413,200,0.4843,0.4364,0.017824
retro_Me,1,is_bull,10,993,508,0.5116,0.4805,0.043394
is_new_moon,1,is_bull,3,165,78,0.4727,0.398,0.080692
is_full_moon,1,is_bull,10,142,86,0.6056,0.5235,0.124529
is_full_moon,1,is_bull,11,142,85,0.5986,0.5164,0.172281
retro_Me,1,is_bull,1,993,518,0.5217,0.4906,0.178426
graha_yuddha,1,is_bull,3,411,235,0.5718,0.5235,0.197286
graha_yuddha,1,is_bull,2,412,210,0.5097,0.4616,0.197676
is_full_moon,1,is_bull,13,142,69,0.4859,0.4052,0.200363
retro_Me,1,is_bull,7,993,520,0.5237,0.4926,0.228606
retro_Me,1,is_bull,5,993,520,0.5237,0.4926,0.228606
is_full_moon,1,is_bull,12,142,84,0.5915,0.5093,0.232499
retro_Me,1,is_bull,2,993,521,0.5247,0.4936,0.25716
is_new_moon,1,is_bull,13,165,82,0.497,0.4216,0.266684
is_full_moon,1,is_bull,15,142,70,0.493,0.412,0.267188
retro_Me,1,is_bull,3,993,522,0.5257,0.4946,0.288098
is_new_moon,1,is_bull,11,165,83,0.503,0.4275,0.341131
is_full_moon,1,is_bull,6,142,71,0.5,0.4189,0.347886
sade_sati,1,is_bull,1,293,151,0.5154,0.4583,0.398167
sade_sati,1,is_bull,2,292,151,0.5171,0.46,0.432001
is_full_moon,1,is_bull,1,142,72,0.507,0.4257,0.442537
sade_sati,1,is_bull,5,289,150,0.519,0.4616,0.466196
sade_sati,1,is_bull,3,291,151,0.5189,0.4616,0.467564
is_new_moon,1,is_bull,1,165,94,0.5697,0.4934,0.475393
is_full_moon,1,is_bull,9,142,81,0.5704,0.4882,0.495357
is_full_moon,1,is_bull,8,142,81,0.5704,0.4882,0.495357
graha_yuddha,1,is_bull,4,411,229,0.5572,0.5088,0.50268
sade_sati,1,is_bull,4,290,151,0.5207,0.4633,0.504819
gand_Mo,1,is_bull,3,295,154,0.522,0.4651,0.508756
is_new_moon,1,is_bull,7,165,85,0.5152,0.4394,0.525758
is_full_moon,1,is_bull,3,142,73,0.5141,0.4326,0.550374
is_new_moon,1,is_bull,2,165,93,0.5636,0.4874,0.578852
is_new_moon,1,is_bull,5,165,86,0.5212,0.4454,0.63419
is_new_moon,1,is_bull,8,165,86,0.5212,0.4454,0.63419
is_new_moon,1,is_bull,10,165,92,0.5576,0.4813,0.691781
is_full_moon,1,is_bull,4,142,75,0.5282,0.4464,0.798023
is_full_moon,1,is_bull,14,142,75,0.5282,0.4464,0.798023
is_full_moon,1,is_bull,7,142,75,0.5282,0.4464,0.798023
gand_Mo,1,is_bull,1,295,162,0.5492,0.4921,0.809879
gand_Mo,1,is_bull,2,295,162,0.5492,0.4921,0.809879
is_new_moon,1,is_bull,15,165,91,0.5515,0.4753,0.811997
is_full_moon,1,is_bull,2,142,78,0.5493,0.4672,0.864693
is_full_moon,1,is_bull,5,142,78,0.5493,0.4672,0.864693
is_new_moon,1,is_bull,9,165,88,0.5333,0.4573,0.873984
graha_yuddha,1,is_bull,5,411,224,0.545,0.4967,0.877085
is_new_moon,1,is_bull,6,165,90,0.5455,0.4693,0.936809
is_new_moon,1,is_bull,12,165,89,0.5394,0.4633,1.0
is_new_moon,1,is_bull,4,165,89,0.5394,0.4633,1.0
is_new_moon,1,is_bull,14,165,89,0.5394,0.4633,1.0
