features,condition,n,k_pos,win_rate,wilson_lower,p_value,complexity,outcome,outcome_label,source
asp9_Ju_Ve|asp4_Ma_sign,1||6,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
asp9_Ju_Ve|asp7_Ma_sign,1||9,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
asp9_Ju_Ve|asp8_Ma_sign,1||10,18,18,1.0,0.8241,3.403e-05,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp3_Sa_sign,1||1,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Sa_sign,1||5,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp7_Sa_lord,1||Su,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
deg_sq_Sa_Ma|asp10_Sa_sign,1||8,25,24,0.96,0.8046,8e-06,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp7_Sa_sign,1||10,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp3_Sa_sign,1||6,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp5_Ra_Su|asp10_Sa_sign,1||1,71,63,0.8873,0.7931,0.0,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp_Me_dom_Sa,1||1,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Ke_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Ke_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp7_Me_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp7_Me_lord,1||Sa,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp7_Me_Ra|asp_Me_dom_Sa,1||1,45,41,0.9111,0.7927,2e-07,2,is_bull,BULL_DIR,method1_asp
asp4_Ma_Ve|asp7_Su_sign,1||9,38,35,0.9211,0.792,1.33e-06,2,is_bull,BULL_DIR,method1_asp
asp7_Ra_Me|asp9_Ra_sign,1||7,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
deg_opp_Ra_Ju|asp7_Mo_sign,1||1,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp5_Ra_sign,11||3,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
asp7_Me_sign|asp7_Ra_sign,11||5,22,21,0.9545,0.782,4.577e-05,2,is_bull,BULL_DIR,method1_asp
