features,condition,outcome,n,k_pos,win_rate,wilson_lower,p_value,complexity,base_rate,outcome_label
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|ix_sa_asp_mo_digsa,malefic||ashtama_shani=0||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=1||asp7_Ra_Ma=1||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||0_neutral,is_strong_bull,19,9,0.4737,0.2733,0.03098204,27,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|ix_sa_asp_mo_digsa|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s,malefic||ashtama_shani=0||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=1||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||0_neutral||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=1||asp7_Ra_Sa=1||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0,is_strong_bull,23,5,0.2174,0.0966,1.0,38,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|degcat_Su|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|dasha_lord_dig|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s|asp3_Sa_Ve_s|mudi_Ve_s|deg_sext_Me_Sa_s|mod_Ju|deg_conj_Me_Ju_s|asp10_Sa_lord|asp_Ju_natal_mo_s|asp_Ma_dom_Mo_s|comb_Ma_s|kshob_Ma_s|gand_Sa_s|deg_opp_Ra_Sa_s,malefic||ashtama_shani=0||kshu_Sa=0||Ma||mid||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||own||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=1||asp7_Ra_Sa=1||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0||asp3_Sa_Ve=0||mudi_Ve=1||deg_sext_Me_Sa=0||D||deg_conj_Me_Ju=0||Ju||asp_Ju_natal_mo=0||asp_Ma_dom_Mo=1||comb_Ma=0||kshob_Ma=0||gand_Sa=0||deg_opp_Ra_Sa=0,is_strong_bull,6,5,0.8333,0.4365,0.00435791,51,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|dasha_lord_dig|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|n_asp_Ju|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma,malefic||ashtama_shani=0||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||neutral||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||2||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||neutral||3||22.5||37.5,is_strong_bull,19,7,0.3684,0.1915,0.283054,25,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|dasha_lord_dig|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||ashtama_shani=0||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||neutral||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||neutral||3||22.5||37.5||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,14,5,0.3571,0.1634,0.3545849,31,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|dasha_lord_dig|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|dig_Ma|digsc_Ma|ishta_Ma|kashta_Ma|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s,malefic||ashtama_shani=0||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||neutral||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||neutral||3||22.5||37.5||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0,is_strong_bull,16,7,0.4375,0.231,0.08553899,30,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|ix_sa_speed_dig|kshu_Sa_s|elem_Ma|mahadasha|degcat_Su|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s,malefic||ashtama_shani=0||retrograde_neutral||kshu_Sa=0||A||Ma||mid||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0,is_strong_bull,21,8,0.381,0.2075,0.20111167,16,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|ix_sa_speed_dig|kshu_Sa_s|elem_Ma|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|dasha_lord_dig|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|elem_Ra|elem_Ke|asp4_Ma_Su_s|asp7_Sa_Ra_s|asp7_Ra_Sa_s|vipareeta_raja_s|asp9_Ke_Ve_s|asp_Ve_natal_mo_s|comb_Mo_s|kshob_Mo_s|asp_Ve_dom_Mo_s,malefic||ashtama_shani=0||retrograde_neutral||kshu_Sa=0||A||Ma||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||enemy||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||E||W||asp4_Ma_Su=0||asp7_Sa_Ra=1||asp7_Ra_Sa=1||vipareeta_raja=0||asp9_Ke_Ve=0||asp_Ve_natal_mo=0||comb_Mo=0||kshob_Mo=0||asp_Ve_dom_Mo=0,is_strong_bull,27,5,0.1852,0.0818,0.65445584,40,0.2469,STRONG_BULL
dasha_quality|ashtama_shani_s|ix_sa_speed_dig|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s|ix_sa_asp_mo_digsa|elem_Ra|elem_Ke|asp4_Ma_Su_s,malefic||ashtama_shani=0||retrograde_neutral||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=0||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0||0_neutral||E||W||asp4_Ma_Su=0,is_strong_bull,46,8,0.1739,0.0909,0.30477527,31,0.2469,STRONG_BULL
dasha_quality|antardasha|ashtama_shani_s|ix_sa_speed_dig|kshu_Sa_s|mahadasha|asp3_Sa_lord|dig_Sa|digsc_Sa|ishta_Sa|kashta_Sa|asp7_Sa_lord|asp_Ju_dom_Sa_s|asp3_Sa_Ra_s|asp5_Ke_Sa_s|neecha_bhanga_s|garv_Sa_s|deg_conj_Ju_Sa_s|asp_Ju_dom_Mo_s|asp_Sa_dom_Ve_s|asp_Sa_dom_Su_s|asp7_Ma_Ra_s|asp7_Ra_Ma_s|deg_sq_Ma_Su_s|asp3_Sa_Me_s|deg_trine_Ve_Ma_s|gand_Ra_s|deg_conj_Su_Mo_s,malefic||Ra||ashtama_shani=0||retrograde_neutral||kshu_Sa=0||Ma||Ve||neutral||3||22.5||37.5||Me||asp_Ju_dom_Sa=0||asp3_Sa_Ra=0||asp5_Ke_Sa=0||neecha_bhanga=1||garv_Sa=0||deg_conj_Ju_Sa=0||asp_Ju_dom_Mo=0||asp_Sa_dom_Ve=1||asp_Sa_dom_Su=0||asp7_Ma_Ra=0||asp7_Ra_Ma=0||deg_sq_Ma_Su=0||asp3_Sa_Me=0||deg_trine_Ve_Ma=0||gand_Ra=0||deg_conj_Su_Mo=0,is_strong_bull,22,6,0.2727,0.1315,0.80493389,28,0.2469,STRONG_BULL
