features,condition,n,k_pos,win_rate,wilson_lower,p_value,complexity,outcome
paksha|dig_Sa|dig_Ma,KRISHNA||own||own,41,39,0.9512,0.8386,3e-08,3,BULL_DIR
dig_Mo|dig_Ma|mahadasha,friendly||own||Ju,28,27,0.9643,0.8229,2.47e-06,3,BULL_DIR
dig_Sa|dig_Ve|dig_Me,neutral||neutral||debilitated,17,17,1.0,0.8157,6.553e-05,3,BULL_DIR
dig_Sa|dig_Ve|ix_paksha_ju_dig,enemy||moolatrikona||SHUKLA_enemy,16,16,1.0,0.8064,0.00012672,3,BULL_DIR
dig_Mo|sade_sati_phase|ix_paksha_ju_dig,debilitated||setting||SHUKLA_friendly,15,15,1.0,0.7961,0.00024589,3,BULL_DIR
dig_Sa|dig_Ma|dig_Ve,exalted||friendly||moolatrikona,15,15,1.0,0.7961,0.00024589,3,BULL_DIR
dig_Sa|dig_Ve|dig_Me,moolatrikona||debilitated||neutral,15,15,1.0,0.7961,0.00024589,3,BULL_DIR
dig_Sa|dig_Ve|parivartana_any_s,moolatrikona||debilitated||parivartana_any=0,15,15,1.0,0.7961,0.00024589,3,BULL_DIR
dig_Sa|dig_Mo|dig_Ma,own||friendly||own,21,20,0.9524,0.7733,8.207e-05,3,BULL_DIR
vara_dig|dig_Ve|ix_paksha_ju_dig,enemy||enemy||KRISHNA_debilitated,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
moon_phase|dig_Ma|ix_paksha_ju_dig,CRESCENT||moolatrikona||SHUKLA_enemy,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
moon_phase|dig_Ju|dig_Ma,CRESCENT||enemy||moolatrikona,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
dig_Sa|ix_paksha_nak|parivartana_any_s,own||SHUKLA_Vishakha||parivartana_any=0,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
paksha|dig_Ve|sade_sati_phase,SHUKLA||debilitated||setting,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
moon_phase|dig_Mo|dig_Ma,CRESCENT||friendly||moolatrikona,13,13,1.0,0.7719,0.00045876,3,BULL_DIR
paksha|dig_Sa|dig_Ve,KRISHNA||own||debilitated,33,30,0.9091,0.7643,1.17e-05,3,BULL_DIR
moon_phase|dig_Ju|dig_Ma,LAST_Q||exalted||neutral,26,24,0.9231,0.7586,7.794e-05,3,BULL_DIR
moon_phase|dig_Ma|ix_paksha_ju_dig,LAST_Q||neutral||KRISHNA_exalted,26,24,0.9231,0.7586,7.794e-05,3,BULL_DIR
dig_Me|mahadasha|ix_paksha_nak,exalted||Ra||KRISHNA_Rohini,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
vara_dig|dig_Mo|dig_Ve,neutral||friendly||debilitated,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
dig_Mo|dig_Ma|dig_Me,friendly||own||enemy,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
nak_mo_name|dig_Sa|dig_Ve,Punarvasu||friendly||neutral,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
dig_Sa|dig_Ve|dig_Me,debilitated||own||own,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
dig_Ju|dig_Ma|dig_Ve,enemy||neutral||moolatrikona,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
moon_phase|dig_Ma|dig_Me,CRESCENT||neutral||own,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
dig_Ma|dig_Ve|dig_Me,moolatrikona||neutral||debilitated,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
nak_mo_name|dig_Me|mahadasha,Rohini||exalted||Ra,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
nak_mo_qual|dig_Ve|ix_paksha_ju_dig,Tikshna||friendly||KRISHNA_neutral,12,12,1.0,0.7575,0.00084581,3,BULL_DIR
dig_Ma|dig_Me|parivartana_any_s,moolatrikona||debilitated||parivartana_any=0,19,18,0.9474,0.7536,0.00026495,3,BULL_DIR
dig_Sa|dig_Me|ix_paksha_ju_dig,own||friendly||SHUKLA_enemy,25,23,0.92,0.7503,0.00013888,3,BULL_DIR
dig_Sa|dig_Ma|dig_Ve,exalted||neutral||enemy,46,40,0.8696,0.7433,7.67e-06,3,BULL_DIR
mahadasha|ix_paksha_ju_dig|parivartana_any_s,Ra||KRISHNA_neutral||parivartana_any=1,18,17,0.9444,0.7424,0.00047687,3,BULL_DIR
dig_Ju|dig_Ma|parivartana_any_s,exalted||enemy||parivartana_any=1,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Sa|dig_Ma,BALSAMIC||own||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ju|dig_Ma|parivartana_any_s,friendly||moolatrikona||parivartana_any=1,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
nak_mo_name|vara_dig|dig_Sa,UttaraBhadrapada||enemy||enemy,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
nak_mo_name|dig_Sa|dig_Ve,Swati||friendly||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ju|dig_Ma|dig_Me,friendly||moolatrikona||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Me|mahadasha|ix_paksha_ju_dig,exalted||Ra||SHUKLA_exalted,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ju|dig_Ma|dig_Ve,friendly||moolatrikona||enemy,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ve|dig_Me|nakl_dig,friendly||own||exalted,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
vara_dig|nakl_dig|ix_paksha_nak,friendly||friendly||KRISHNA_UttaraBhadrapada,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Mo|dig_Ve|ix_paksha_nak,neutral||friendly||SHUKLA_Vishakha,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ju|dig_Sa|dig_Ma,friendly||enemy||moolatrikona,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ve|dig_Me|nakl_dig,moolatrikona||friendly||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Ve|dig_Me,moolatrikona||enemy||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Sa|dig_Me,LAST_Q||enemy||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|nakl_dig|ix_paksha_nak,enemy||friendly||KRISHNA_Revati,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ve|dig_Me|ix_paksha_ju_dig,debilitated||neutral||KRISHNA_friendly,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Ma|dig_Me,NEW||moolatrikona||friendly,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Ma|dig_Me,DIS_GIBBOUS||own||enemy,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Me|ix_paksha_nak,enemy||friendly||KRISHNA_Revati,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Me|nakl_dig,neutral||own||exalted,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Ma|dig_Ve,FULL||debilitated||neutral,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|mahadasha|ix_paksha_ju_dig,own||Ju||KRISHNA_enemy,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|nak_mo_name|dig_Ma,DIS_GIBBOUS||UttaraBhadrapada||neutral,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Ve,exact_exalt||neutral,11,11,1.0,0.7412,0.00156402,2,BULL_DIR
dig_Sa|dig_Ma|dig_Me,enemy||moolatrikona||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
nak_mo_qual|dig_Sa|dig_Ve,Mishra||own||own,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Ve|papakartari_s,exact_exalt||neutral||papakartari=0,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
moon_phase|dig_Ma|ix_paksha_nak,DIS_GIBBOUS||neutral||KRISHNA_UttaraBhadrapada,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Me|sade_sati_phase|ix_paksha_ju_dig,exalted||none||SHUKLA_exalted,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
nak_mo_name|vara_dig|nakl_dig,UttaraBhadrapada||enemy||enemy,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
vara_dig|dig_Sa|ix_paksha_nak,friendly||friendly||KRISHNA_UttaraBhadrapada,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Ma|dig_Me|mahadasha,moolatrikona||own||Ra,11,11,1.0,0.7412,0.00156402,3,BULL_DIR
dig_Sa|dig_Ve|dig_Me,enemy||friendly||own,35,31,0.8857,0.7405,4.524e-05,3,BULL_DIR
paksha|dig_Ve|mahadasha,KRISHNA||debilitated||Ju,40,35,0.875,0.7389,1.771e-05,3,BULL_DIR
moon_phase|dig_Ve|parivartana_any_s,DIS_GIBBOUS||moolatrikona||parivartana_any=0,29,26,0.8966,0.7361,0.0001003,3,BULL_DIR
dig_Ju|dig_Sa|dig_Ve,friendly||moolatrikona||debilitated,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Mo|sade_sati_phase|ix_paksha_ju_dig,own||none||KRISHNA_debilitated,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Sa|dig_Ve|ix_paksha_ju_dig,own||debilitated||KRISHNA_own,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Sa|dig_Ve,moolatrikona||debilitated,17,16,0.9412,0.7302,0.00085897,2,BULL_DIR
dig_Sa|dig_Me|ix_paksha_ju_dig,enemy||neutral||KRISHNA_moolatrikona,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Ma|dig_Me|ix_paksha_ju_dig,enemy||neutral||KRISHNA_moolatrikona,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Ju|dig_Ve|mahadasha,friendly||debilitated||Ju,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Sa|dig_Ve|mahadasha,moolatrikona||debilitated||Ju,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Sa|dig_Ve|sade_sati_phase,moolatrikona||debilitated||none,17,16,0.9412,0.7302,0.00085897,3,BULL_DIR
dig_Sa|dig_Ma|comb_Mo_s,enemy||moolatrikona||comb_Mo=0,43,37,0.8605,0.7274,2.025e-05,3,BULL_DIR
dig_Sa|dig_Ve|dig_Me,friendly||moolatrikona||friendly,61,51,0.8361,0.7239,3.4e-06,3,BULL_DIR
moon_phase|ix_paksha_ju_dig|ix_paksha_nak,BALSAMIC||KRISHNA_friendly||KRISHNA_Bharani,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|ix_paksha_ju_dig|ix_paksha_nak,NEW||SHUKLA_enemy||SHUKLA_PurvaAshadha,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Ju|ix_paksha_nak,BALSAMIC||friendly||KRISHNA_Bharani,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
nak_mo_name|dig_Ju|mahadasha,Magha||friendly||Ju,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
nak_mo_name|dig_Ju|parivartana_any_s,Ashlesha||debilitated||parivartana_any=0,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Ma|mahadasha,CRESCENT||moolatrikona||Ju,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Ju|ix_paksha_nak,NEW||enemy||SHUKLA_PurvaAshadha,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
nak_mo_name|dig_Ma|dig_Ve,Revati||enemy||enemy,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
vara_dig|tara_quality|ix_paksha_ju_dig,neutral||prosperity||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
tara_quality|mahadasha|ix_paksha_ju_dig,wealth||Ju||KRISHNA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_nak,enemy||neutral||KRISHNA_Chitra,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
mahadasha|ix_paksha_ju_dig|ix_paksha_nak,Ra||SHUKLA_own||SHUKLA_UttaraPhalguni,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,own||own||KRISHNA_neutral,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,own||own||KRISHNA_enemy,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,own||own||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Sa|dig_Ma,DIS_GIBBOUS||own||own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,own||enemy||KRISHNA_own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,neutral||exalted||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
vara_dig|dig_Sa|dig_Me,moolatrikona||friendly||friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ju|mahadasha|ix_paksha_nak,own||Ra||SHUKLA_UttaraPhalguni,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Sa|dig_Ma,FULL||own||own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Sa|dig_Ve,LAST_Q||own||debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Mo|ix_paksha_ju_dig,enemy||friendly||SHUKLA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|nak_mo_name|ix_paksha_ju_dig,NEW||PurvaAshadha||SHUKLA_enemy,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|nak_mo_name|ix_paksha_ju_dig,BALSAMIC||Bharani||KRISHNA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Mo|mahadasha,BALSAMIC||debilitated||Ju,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|nak_mo_name|dig_Ju,BALSAMIC||Bharani||friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
nak_mo_name|mahadasha|ix_paksha_ju_dig,UttaraPhalguni||Ra||SHUKLA_own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Me|nakl_dig|ix_paksha_ju_dig,enemy||own||KRISHNA_own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Ma|dig_Ve,DIS_GIBBOUS||own||moolatrikona,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|nak_mo_name|dig_Ju,NEW||PurvaAshadha||enemy,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
vara_dig|mahadasha|comb_Mo_s,own||Ju||comb_Mo=1,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Ma|ix_paksha_ju_dig,enemy||moolatrikona||SHUKLA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Ma|dig_Me,BALSAMIC||friendly||own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
ix_paksha_nak|papakartari_s|comb_Mo_s,SHUKLA_Mrigashira||papakartari=1||comb_Mo=0,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Mo|dig_Ma,friendly||exact_exalt,10,10,1.0,0.7225,0.00290226,2,BULL_DIR
dig_Sa|dig_Me|ix_paksha_ju_dig,exalted||exalted||SHUKLA_exalted,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Mo|dig_Ma|comb_Mo_s,friendly||exact_exalt||comb_Mo=0,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Mo|dig_Ma|papakartari_s,friendly||exact_exalt||papakartari=0,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Ve|mahadasha,exact_exalt||neutral||Ra,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Ve|ix_paksha_ju_dig,exalted||friendly||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
paksha|vara_dig|dig_Ma,SHUKLA||exalted||moolatrikona,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Ve|ix_paksha_ju_dig,moolatrikona||enemy||SHUKLA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Ve|ix_paksha_ju_dig,own||own||KRISHNA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Mo|dig_Ma|dig_Me,exalted||friendly||own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Ve|comb_Mo_s,exact_exalt||neutral||comb_Mo=0,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|nakl_dig|ix_paksha_nak,enemy||neutral||KRISHNA_Chitra,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|sade_sati_phase|ix_paksha_nak,friendly||none||SHUKLA_Mrigashira,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|dig_Me|ix_paksha_ju_dig,moolatrikona||own||SHUKLA_friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|mahadasha|ix_paksha_ju_dig,exalted||Ma||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|mahadasha|ix_paksha_ju_dig,own||Ju||KRISHNA_neutral,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ve|mahadasha|nakl_dig,moolatrikona||Ju||friendly,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Sa|dig_Me|nakl_dig,own||enemy||own,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
dig_Ma|sade_sati_phase|ix_paksha_ju_dig,exalted||rising||KRISHNA_debilitated,10,10,1.0,0.7225,0.00290226,3,BULL_DIR
moon_phase|dig_Me|sade_sati_phase,DIS_GIBBOUS||friendly||peak,22,20,0.9091,0.7218,0.00041407,3,BULL_DIR
dig_Ma|mahadasha|sade_sati_phase,own||Ju||none,95,77,0.8105,0.7203,1.2e-07,3,BULL_DIR
dig_Ma|dig_Ve|dig_Me,friendly||friendly||own,27,24,0.8889,0.7194,0.00029244,3,BULL_DIR
dig_Sa|dig_Ve|comb_Mo_s,enemy||friendly||comb_Mo=1,27,24,0.8889,0.7194,0.00029244,3,BULL_DIR
dig_Ju|dig_Ma|ix_paksha_nak,enemy||friendly||KRISHNA_Jyeshtha,16,15,0.9375,0.7167,0.00154773,3,BULL_DIR
nak_mo_name|dig_Ma|ix_paksha_ju_dig,Jyeshtha||friendly||KRISHNA_enemy,16,15,0.9375,0.7167,0.00154773,3,BULL_DIR
dig_Ma|ix_paksha_ju_dig|ix_paksha_nak,friendly||KRISHNA_enemy||KRISHNA_Jyeshtha,16,15,0.9375,0.7167,0.00154773,3,BULL_DIR
dig_Mo|dig_Ma|dig_Ve,neutral||exalted||enemy,16,15,0.9375,0.7167,0.00154773,3,BULL_DIR
