condition_col,condition_val,outcome,lag,n,k,win_rate,wilson_lower,p_value
retro_Me,1,is_bull,10,1436,750,0.5223,0.4964,0.015459
retro_Me,1,is_bull,14,1436,752,0.5237,0.4978,0.021263
sade_sati,1,is_bull,1,1943,1032,0.5311,0.5089,0.041106
nak_16,1,is_bull,3,264,129,0.4886,0.4289,0.043619
sade_sati,1,is_bull,2,1942,1033,0.5319,0.5097,0.049629
sade_sati,1,is_bull,5,1939,1032,0.5322,0.51,0.052704
sade_sati,1,is_bull,3,1941,1034,0.5327,0.5105,0.059593
sade_sati,1,is_bull,4,1940,1034,0.533,0.5107,0.063241
gajakesari,1,is_bull,2,2511,1421,0.5659,0.5464,0.068319
retro_Me,1,is_high_vol,14,1436,131,0.0912,0.0774,0.072939
kemadruma,1,is_bull,2,276,138,0.5,0.4414,0.084426
graha_yuddha,1,is_bull,4,593,347,0.5852,0.5451,0.085264
nak_19,1,is_bull,2,280,140,0.5,0.4418,0.086313
graha_yuddha,1,is_bull,1,595,308,0.5176,0.4775,0.09376
tit_29,1,is_bull,3,254,153,0.6024,0.5411,0.095652
nak_20,1,is_bull,1,277,139,0.5018,0.4433,0.096625
gand_Mo,1,is_bull,2,427,252,0.5902,0.5429,0.098321
graha_yuddha,1,is_bull,5,593,346,0.5835,0.5434,0.10209
gajakesari,1,is_bull,1,2511,1417,0.5643,0.5448,0.103992
nak_24,1,is_bull,1,274,138,0.5036,0.4448,0.108119
nak_10,1,is_bull,2,283,169,0.5972,0.5391,0.113637
is_new_moon,1,is_bull,4,237,119,0.5021,0.4389,0.127213
is_full_moon,1,is_bull,11,206,124,0.6019,0.5338,0.155279
tit_23,1,is_bull,2,259,154,0.5946,0.5338,0.161991
nak_22,1,is_bull,2,260,132,0.5077,0.4473,0.162668
is_new_moon,1,is_bull,3,237,120,0.5063,0.4431,0.16379
tit_30,1,is_bull,3,237,120,0.5063,0.4431,0.16379
nak_7,1,is_bull,1,269,159,0.5911,0.5314,0.190012
nak_23,1,is_bull,1,272,139,0.511,0.4519,0.192143
papakartari,1,is_bull,1,733,387,0.528,0.4918,0.196878
is_full_moon,1,is_bull,12,206,123,0.5971,0.5289,0.200961
nak_21,1,is_bull,1,274,141,0.5146,0.4556,0.216568
kemadruma,1,is_bull,3,276,142,0.5145,0.4557,0.217874
nak_14,1,is_bull,2,260,153,0.5885,0.5278,0.228218
nak_9,1,is_bull,1,280,164,0.5857,0.5272,0.24498
graha_yuddha,1,is_bull,2,594,314,0.5286,0.4884,0.263616
tit_29,1,is_bull,1,254,149,0.5866,0.5252,0.275217
nak_18,1,is_bull,3,287,149,0.5192,0.4615,0.276309
tit_15,1,is_bull,1,206,106,0.5146,0.4467,0.287576
is_full_moon,1,is_bull,1,206,106,0.5146,0.4467,0.287576
nak_15,1,is_bull,1,276,161,0.5833,0.5244,0.294569
nak_13,1,is_bull,1,278,162,0.5827,0.524,0.29639
nak_9,1,is_bull,3,280,163,0.5821,0.5236,0.298272
is_new_moon,1,is_bull,7,237,123,0.519,0.4556,0.320038
is_new_moon,1,is_high_vol,2,237,23,0.097,0.0655,0.327153
is_new_moon,1,is_high_vol,4,237,23,0.097,0.0655,0.327153
tit_14,1,is_bull,2,252,131,0.5198,0.4583,0.33389
tit_30,1,is_bull,2,237,138,0.5823,0.5187,0.352958
is_new_moon,1,is_bull,2,237,138,0.5823,0.5187,0.352958
is_full_moon,1,is_bull,14,206,107,0.5194,0.4515,0.356739
is_full_moon,1,is_bull,15,206,107,0.5194,0.4515,0.356739
nak_17,1,is_bull,2,279,146,0.5233,0.4648,0.357657
nak_8,1,is_bull,3,283,164,0.5795,0.5213,0.360798
