feature,value,n,k_anomaly,anomaly_rate,wilson_lower,p_value
ix_paksha_nak,KRISHNA_PurvaBhadrapada,150,22,0.1467,0.0989,0.001253
vara_lord,Ve,1464,135,0.0922,0.0784,0.001605
nak_mo_name,PurvaBhadrapada,287,35,0.122,0.089,0.002287
tara_quality,danger,820,78,0.0951,0.0769,0.010041
nak_mo_name,Swati,276,31,0.1123,0.0803,0.012712
vara_lord,Ma,1494,87,0.0582,0.0475,0.018945
ix_paksha_nak,KRISHNA_Pushya,137,17,0.1241,0.0789,0.028491
ix_paksha_nak,KRISHNA_Revati,145,4,0.0276,0.0108,0.033894
ix_paksha_nak,KRISHNA_Swati,141,16,0.1135,0.0711,0.069085
vara_lord,Ju,1492,124,0.0831,0.0702,0.083297
ix_paksha_nak,SHUKLA_Bharani,131,15,0.1145,0.0706,0.085422
elem_Mo,A,1853,151,0.0815,0.0699,0.08802
dig_Ju,debilitated,615,34,0.0553,0.0398,0.088353
ix_paksha_ju_dig,SHUKLA_exact_debil,15,3,0.2,0.0705,0.089698
ix_paksha_nak,SHUKLA_Swati,135,15,0.1111,0.0685,0.091544
vara_lord,Me,1491,93,0.0624,0.0512,0.094101
ix_paksha_nak,KRISHNA_Shatabhisha,140,5,0.0357,0.0153,0.099296
