features,condition,outcome,n,win_rate,wilson_lower,p_value,k
choghadiya|tithi_num,choghadiya==U&tithi_num==30,BULL,25,0.84,0.6535,0.003835,2
choghadiya|tithi_num,choghadiya==U&tithi_num==19,BULL,26,0.8077,0.6212,0.009068,2
choghadiya|paksha,choghadiya==U&paksha==KRISHNA,BULL,335,0.6179,0.5648,0.009167,2
choghadiya|nak_mo,choghadiya==U&nak_mo==4,BEAR,26,0.3077,0.165,0.016304,2
choghadiya|tithi_num,choghadiya==U&tithi_num==11,BEAR,22,0.3182,0.1636,0.031908,2
choghadiya|sign_Mo,choghadiya==U&sign_Mo==4,BULL,53,0.6981,0.5646,0.036015,2
choghadiya|dig_Mo,choghadiya==U&dig_Mo==own,BULL,53,0.6981,0.5646,0.036015,2
choghadiya|tithi_num,choghadiya==U&tithi_num==26,BULL,19,0.7895,0.5667,0.038556,2
choghadiya,choghadiya==U,BULL,677,0.5731,0.5355,0.194427,1
choghadiya_quality,choghadiya_quality==avoid,BULL,1984,0.5595,0.5375,0.215446,1
hora_at_open,hora_at_open==Me,BULL,181,0.5912,0.5184,0.282296,1
choghadiya,choghadiya==A,BULL,749,0.534,0.4982,0.316989,1
choghadiya_quality,choghadiya_quality==best,BULL,749,0.534,0.4982,0.316989,1
hora_at_open,hora_at_open==Sa,BULL,700,0.5371,0.5001,0.441847,1
choghadiya,choghadiya==K,BULL,629,0.5628,0.5238,0.504833,1
rahu_kalam_open,rahu_kalam_open==0,BULL,2713,0.5477,0.5289,0.504833,1
rahu_kalam_open,rahu_kalam_open==1,BULL,629,0.5628,0.5238,0.504833,1
hora_at_open,hora_at_open==Mo,BULL,435,0.5379,0.491,0.570247,1
choghadiya,choghadiya==L,BULL,598,0.5418,0.5017,0.650197,1
choghadiya,choghadiya==R,BULL,678,0.5428,0.5051,0.665534,1
gulika_kalam_open,gulika_kalam_open==0,BULL,2664,0.5526,0.5336,0.665534,1
gulika_kalam_open,gulika_kalam_open==1,BULL,678,0.5428,0.5051,0.665534,1
choghadiya_quality,choghadiya_quality==good,BULL,608,0.5428,0.503,0.6851,1
hora_at_open,hora_at_open==Ju,BULL,677,0.5569,0.5192,0.729364,1
hora_at_open,hora_at_open==Su,BULL,504,0.5556,0.5119,0.845923,1
hora_at_open,hora_at_open==Ve,BULL,671,0.5514,0.5136,0.965409,1
choghadiya,choghadiya==S,BULL,10,0.6,0.3127,1.0,1
hora_at_open,hora_at_open==Ma,BULL,174,0.5517,0.4775,1.0,1
