date,day_of_week,composite_score,classification,campaign_window,dead_zone,signal_count,ju_dignity_est,moon_combust_est
2026-06-15,Monday,53.0,WATCH,False,False,2,3,1
2026-06-16,Tuesday,53.0,WATCH,False,False,2,3,1
2026-06-17,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-06-18,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-06-19,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-06-22,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-06-23,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-06-24,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-06-25,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-06-26,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-06-29,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-06-30,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-01,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-02,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-07-03,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-07-06,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-07-07,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-08,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-09,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-07-10,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-07-13,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-07-14,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-15,Wednesday,53.0,WATCH,False,False,2,3,1
2026-07-16,Thursday,53.0,WATCH,False,False,2,3,1
2026-07-17,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-07-20,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-07-21,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-22,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-23,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-07-24,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-07-27,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-07-28,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-29,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-07-30,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-07-31,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-08-03,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-08-04,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-05,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-06,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-08-07,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-08-10,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-08-11,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-12,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-13,Thursday,53.0,WATCH,False,False,2,3,1
2026-08-14,Friday,53.0,WATCH,False,False,2,3,1
2026-08-17,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-08-18,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-19,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-20,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-08-21,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-08-24,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-08-25,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-26,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-08-27,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-08-28,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-08-31,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-09-01,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-02,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-03,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-09-04,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-09-07,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-09-08,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-09,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-10,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-09-11,Friday,43.0,NEUTRAL,False,True,1,3,0
2026-09-14,Monday,43.0,NEUTRAL,False,True,1,3,0
2026-09-15,Tuesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-16,Wednesday,43.0,NEUTRAL,False,True,1,3,0
2026-09-17,Thursday,43.0,NEUTRAL,False,True,1,3,0
2026-09-18,Friday,43.0,NEUTRAL,False,True,1,3,0
